kanji,count
彼,54382
私,33966
女,18556
人,18290
日,16679
行,12624
一,10558
見,10485
言,9940
事,9682
本,9447
時,9376
出,9165
何,9050
分,9009
大,8994
生,8698
今,8220
間,8201
気,7903
手,7674
子,7574
話,7350
思,7328
学,6630
自,6604
中,6543
会,6524
家,6258
年,6234
語,6161
上,6003
来,5888
食,5721
前,5710
知,5465
君,5215
車,5025
入,5003
好,4988
物,4966
方,4898
合,4698
者,4456
持,4284
金,4274
書,3959
明,3879
達,3853
国,3745
仕,3674
当,3635
全,3576
聞,3446
意,3438
少,3434
部,3431
下,3389
理,3386
誰,3267
要,3223
後,3213
僕,3212
目,3174
新,3086
通,3040
電,3033
最,2989
立,2962
買,2957
問,2954
心,2930
教,2899
先,2886
度,2860
切,2857
父,2850
多,2832
動,2829
的,2800
地,2800
月,2758
外,2705
実,2700
着,2668
強,2666
題,2651
取,2651
親,2646
名,2635
屋,2631
必,2617
高,2558
場,2512
長,2504
不,2497
作,2491
校,2463
発,2458
社,2429
力,2424
画,2400
母,2397
結,2396
楽,2372
小,2360
我,2350
考,2347
成,2346
供,2342
読,2341
無,2329
友,2283
昨,2278
起,2269
同,2260
使,2259
所,2248
違,2242
悪,2236
近,2208
英,2193
決,2190
用,2164
変,2154
業,2100
待,2098
水,2092
計,2075
男,2063
味,2043
世,1998
性,1996
夜,1994
道,1986
文,1977
体,1976
住,1960
二,1954
歩,1948
対,1910
良,1896
番,1893
機,1867
信,1862
運,1859
雨,1853
感,1850
朝,1839
勉,1820
終,1804
解,1796
週,1790
飲,1788
回,1761
受,1750
数,1717
正,1713
帰,1703
転,1703
遅,1700
口,1700
足,1698
代,1676
以,1675
開,1673
空,1673
早,1671
試,1668
始,1662
面,1656
音,1656
定,1649
然,1633
乗,1628
説,1623
真,1605
付,1591
病,1588
死,1570
寝,1566
毎,1553
伝,1553
重,1544
失,1540
犬,1534
関,1530
美,1522
過,1506
紙,1495
降,1494
風,1493
難,1488
料,1482
働,1459
身,1454
引,1445
向,1443
婚,1419
休,1410
験,1394
約,1393
直,1379
助,1366
法,1354
得,1344
山,1342
故,1341
現,1340
飛,1323
初,1315
曜,1306
員,1298
活,1292
天,1290
予,1287
止,1286
赤,1279
有,1273
忘,1268
落,1260
海,1254
愛,1251
議,1245
命,1244
主,1230
葉,1228
医,1223
利,1212
込,1211
他,1210
旅,1207
界,1204
注,1192
次,1189
店,1187
内,1186
息,1184
選,1183
白,1181
急,1171
十,1165
能,1165
覚,1150
緒,1147
品,1143
続,1138
嫌,1127
木,1117
歌,1114
経,1104
調,1097
幸,1090
返,1090
色,1089
若,1083
由,1067
戦,1067
頭,1063
両,1062
別,1060
相,1054
果,1045
常,1045
俺,1038
期,1037
座,1036
点,1035
映,1034
論,1033
残,1027
質,1023
京,1021
配,1019
笑,1016
野,1015
花,1013
顔,1009
確,1006
欲,1004
情,1001
習,1000
化,998
連,997
平,996
勝,995
在,992
売,985
市,983
声,983
安,978
警,978
痛,973
功,968
走,967
政,966
席,966
記,965
公,964
願,959
進,959
駅,957
送,950
火,947
様,940
歳,939
東,933
夫,930
表,928
単,923
告,917
格,911
可,910
眠,901
張,901
都,900
価,899
服,898
呼,891
士,891
三,889
戻,881
交,881
頼,870
断,869
限,867
町,863
非,857
優,857
族,849
払,848
指,847
元,845
答,837
猫,836
川,835
報,834
値,831
消,831
求,829
泳,828
案,826
古,826
加,823
流,820
産,819
望,809
反,806
苦,806
球,803
兄,801
健,801
職,799
役,798
育,793
万,790
雪,789
守,788
置,787
怒,786
察,783
治,775
段,774
辞,773
太,773
頃,772
神,771
列,771
園,769
訳,768
速,764
台,763
集,762
危,759
満,759
夏,750
写,747
支,745
夢,745
任,744
民,736
訪,734
離,733
建,733
夕,724
際,723
遠,721
去,721
午,718
務,716
客,709
忙,707
素,705
半,705
徒,704
図,704
探,699
熱,695
晩,695
腹,691
件,687
困,685
洗,683
広,683
院,682
泣,681
敗,680
深,675
争,672
館,670
遊,668
絶,668
授,666
束,664
昼,663
念,663
与,663
宿,662
備,661
提,660
康,660
疲,659
光,657
便,656
態,655
申,654
茶,651
険,650
冷,650
状,649
円,648
背,648
字,648
寒,646
判,642
殺,638
科,633
認,633
弟,633
突,628
田,628
馬,627
窓,626
船,625
原,622
閉,618
害,617
観,616
薬,615
師,614
庭,613
類,612
負,610
驚,602
暮,601
慣,600
恐,600
想,599
係,599
保,598
土,591
散,590
石,590
絵,588
組,584
割,583
和,582
邪,578
形,578
術,577
興,576
演,575
暗,574
放,574
第,574
魚,574
種,570
欠,570
許,569
義,566
特,561
喜,560
済,558
室,556
打,556
似,556
留,555
努,552
肉,550
路,549
髪,548
借,546
応,545
娘,544
姉,543
収,540
妻,539
除,538
渡,538
振,536
靴,536
皆,535
貸,533
酒,530
青,529
存,528
懸,527
老,527
抜,524
末,524
首,523
鳥,519
刻,518
盗,517
局,516
罪,513
完,513
識,513
給,512
宅,511
投,511
独,509
参,509
静,507
妹,507
号,504
犯,503
費,502
逃,501
悲,499
式,499
礼,497
横,496
飯,495
従,494
退,494
追,492
箱,492
嘘,491
簡,491
容,490
倒,488
制,488
煙,488
証,487
慢,486
昔,486
暇,486
謝,484
増,484
敵,481
怖,480
寄,480
星,480
途,480
財,479
護,478
登,478
責,477
暑,476
曲,476
鳴,475
労,474
普,474
談,468
焼,466
駄,466
具,465
氏,464
晴,462
壊,462
工,459
官,458
資,455
商,454
吸,453
傷,447
歯,446
辺,444
福,444
秘,442
王,440
居,439
候,437
構,437
黒,437
密,436
疑,435
準,435
到,435
温,434
冬,433
線,431
銀,429
越,429
階,427
破,427
耳,427
五,424
賛,423
視,422
権,420
陽,420
研,420
究,419
牛,419
才,418
杯,417
血,414
余,413
亡,413
雑,411
差,410
減,409
勤,409
個,408
折,407
弾,406
捕,405
修,405
等,403
示,403
貧,402
震,402
景,402
位,401
統,400
祖,400
規,398
誕,398
迷,397
設,396
腕,396
弁,396
婦,395
鍵,395
迎,394
激,393
押,393
村,393
港,392
器,389
富,389
共,388
布,388
側,387
適,387
互,383
仲,381
製,380
影,380
舞,378
量,375
接,374
根,374
隠,372
坊,372
丈,371
北,370
招,368
禁,367
滞,367
絡,365
恋,364
四,363
詩,363
撃,361
掛,359
隣,357
効,353
処,352
春,352
例,352
帯,351
練,350
技,349
援,348
司,348
査,348
衆,348
周,347
砂,346
百,346
扱,344
領,344
戸,342
草,342
帽,341
再,341
荷,338
評,338
毛,337
善,336
為,334
境,332
誤,332
混,331
浮,331
右,331
検,330
将,330
暖,330
府,329
異,329
片,329
賞,328
軽,327
島,326
響,325
営,325
抱,325
門,324
象,323
忠,323
乳,321
歴,320
泊,320
介,319
比,318
型,318
鹿,317
精,316
極,315
専,315
造,315
街,314
惑,313
因,313
米,313
貴,313
復,313
傘,313
短,312
勢,312
机,311
左,311
防,310
卵,310
叔,309
恥,309
細,307
史,307
脱,307
汚,305
障,305
易,304
更,304
像,302
黙,300
低,300
挙,299
程,298
掃,298
則,297
姿,297
床,296
庫,296
魔,296
厳,295
植,295
派,295
齢,294
飼,293
千,292
賢,291
未,291
額,290
筆,290
頂,290
節,289
敬,289
裏,289
聴,286
騒,285
弱,285
昇,284
固,284
枚,283
基,282
算,282
税,282
橋,282
油,281
虫,280
森,279
競,278
囲,277
尊,277
届,276
尋,276
慮,276
勇,276
触,274
卒,273
団,273
並,272
装,271
延,271
課,270
描,270
劇,270
順,270
吹,270
策,268
頑,268
被,267
骨,267
農,266
積,266
否,265
酔,264
湖,264
涙,264
率,264
泥,264
軍,264
儀,263
郵,263
況,263
染,262
換,261
洋,261
企,261
雇,260
角,258
改,257
詳,257
尽,257
芸,255
域,255
捨,255
移,254
替,254
養,253
般,251
釣,251
冗,250
棒,250
甘,248
奇,246
壁,246
冊,245
鉄,245
御,244
屈,244
奴,244
律,243
撮,241
怪,241
西,241
環,240
快,240
燃,240
兵,240
講,239
損,239
械,238
喫,237
翻,237
暴,235
救,235
舎,232
匹,232
偶,232
陸,231
診,231
携,230
八,230
災,229
趣,229
述,228
誘,227
避,227
免,225
糖,225
博,224
停,224
奥,223
微,223
端,223
倍,223
整,223
塩,222
県,220
句,220
攻,220
菜,219
協,218
滅,218
偉,218
鏡,218
嬉,218
浴,217
区,216
耐,216
悔,216
患,215
補,213
録,213
皿,213
詞,212
裕,211
乱,210
鼻,209
毒,208
爆,208
氷,208
包,207
展,206
誌,206
巻,205
秋,205
捜,204
沈,204
材,204
久,204
症,203
蔵,203
就,202
印,202
阪,201
逆,201
宝,200
怠,200
南,200
刑,200
紹,200
呂,199
妙,199
鉛,199
宙,199
池,198
及,198
胸,197
贈,196
希,196
玉,196
級,195
委,195
香,194
宇,194
肩,194
輸,193
眼,193
益,192
札,192
緊,191
致,191
濯,190
貯,189
丸,189
叫,188
源,188
管,188
績,188
波,187
踊,187
超,186
導,186
雲,186
符,186
圧,185
航,185
祝,185
乏,184
締,183
幼,182
標,182
州,181
党,181
丘,181
穴,180
看,180
郎,180
裁,179
紅,179
伸,179
辛,178
討,178
詰,178
噂,178
祭,178
六,178
塗,178
模,177
隊,176
嵐,176
群,176
担,175
刺,175
悩,175
輪,174
握,174
底,173
盛,173
療,173
版,173
椅,173
棚,172
豊,172
条,172
含,171
岸,171
皮,170
筋,170
袋,169
陰,169
腰,169
愚,167
販,167
志,167
恵,165
跡,165
賃,164
傾,164
属,164
抗,164
催,164
衣,163
魅,163
築,163
革,163
誇,163
奪,162
児,162
季,162
霊,161
紀,161
九,161
柄,159
承,159
凍,159
各,159
狂,159
劣,159
臭,159
銃,158
干,157
芝,156
栄,155
瓶,154
納,154
章,153
召,153
総,152
拠,152
廃,152
粉,151
株,151
憶,151
板,151
奮,151
罰,150
緑,150
購,150
載,149
七,149
継,149
麗,148
城,146
瞬,146
駐,146
狭,145
照,145
測,145
己,144
幾,144
請,144
歓,144
遺,143
訴,143
預,142
薄,142
履,142
典,142
貨,141
推,141
奏,141
腐,141
了,140
施,139
遂,139
輝,138
沢,137
依,136
創,135
酸,135
羽,135
漢,135
鮮,134
駆,134
票,134
華,134
飽,133
林,133
仮,133
複,132
睡,132
契,132
拒,132
採,132
丁,132
